USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 167724  9884 ?        Ss   10:27   0:03 /sbin/init splash
root         963  0.0  0.4 126768 18508 ?        Ssl  10:27   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         979  0.0  0.1  12184  5660 ?        Ss   10:27   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         987  0.0  0.1 248248  7524 ?        Ssl  10:27   0:00 /usr/sbin/gdm3
whoopsie    1023  0.0  0.2 326828 11372 ?        Ssl  10:27   0:00 /usr/bin/whoopsie -f
kernoops    1028  0.0  0.0  11264   228 ?        Ss   10:27   0:00 /usr/sbin/kerneloops --test
kernoops    1040  0.0  0.0  11264   448 ?        Ss   10:27   0:00 /usr/sbin/kerneloops
rtkit       1123  0.0  0.0 152940  2860 ?        SNsl 10:27   0:01 /usr/libexec/rtkit-daemon
root        1227  0.0  0.1 260780  7716 ?        Ssl  10:27   0:00 /usr/lib/upower/upowerd
colord      1497  0.0  0.3 254824 12404 ?        Ssl  10:27   0:00 /usr/libexec/colord
root        1554  0.0  0.2 323296  9040 ?        Sl   10:27   0:00 gdm-session-worker [pam/gdm-password]
xlp         1562  0.0  0.2  22460 10992 ?        Ss   10:27   0:00 /lib/systemd/systemd --user
xlp         1563  0.0  0.0 103448  1644 ?        S    10:27   0:00 (sd-pam)
xlp         1568  0.0  0.3 1491348 15276 ?       Ssl  10:27   0:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
xlp         1570  0.0  0.4 732976 18640 ?        SNsl 10:27   0:00 /usr/libexec/tracker-miner-fs
xlp         1573  0.0  0.2  12372  8900 ?        Ss   10:27   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
xlp         1589  0.0  0.1 248348  6176 ?        Ssl  10:27   0:00 /usr/libexec/gvfsd
xlp         1594  0.0  0.1 248820  5288 ?        Sl   10:27   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
xlp         1597  0.0  0.1 378344  5160 ?        Sl   10:27   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
xlp         1608  0.0  0.2 396376  8832 ?        Ssl  10:27   0:01 /usr/libexec/gvfs-udisks2-volume-monitor
xlp         1614  0.0  0.1 325356  7000 ?        Ssl  10:27   0:01 /usr/libexec/gvfs-afc-volume-monitor
xlp         1619  0.0  0.1 244336  5032 ?        Ssl  10:27   0:00 /usr/libexec/gvfs-mtp-volume-monitor
xlp         1624  0.0  0.1 246612  5568 ?        Ssl  10:27   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
xlp         1628  0.0  0.1 244508  5180 ?        Ssl  10:27   0:00 /usr/libexec/gvfs-goa-volume-monitor
xlp         1632  0.0  0.4 555796 17192 ?        Sl   10:27   0:00 /usr/libexec/goa-daemon
xlp         1639  0.0  0.1 323388  7228 ?        Sl   10:27   0:00 /usr/libexec/goa-identity-service
xlp         1649  0.0  0.1 172652  5588 tty2     Ssl+ 10:27   0:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
xlp         1655  0.0  1.3 294884 53812 tty2     Sl+  10:27   0:10 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
xlp         1670  0.0  0.2 196900  9868 tty2     Sl+  10:27   0:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
xlp         1738  0.0  0.0   6040   100 ?        Ss   10:27   0:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
xlp         1755  0.0  0.1 305372  5064 ?        Ssl  10:27   0:00 /usr/libexec/at-spi-bus-launcher
xlp         1760  0.0  0.0   7248  3620 ?        S    10:27   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
xlp         1766  0.0  0.0  98696  3216 ?        Ssl  10:27   0:00 /usr/libexec/gnome-session-ctl --monitor
